Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,News Sentiments
18-10-2017,147.6058144,148.4631112,146.3556042,148.0344696,2798300,0,0,1.335942846
19-10-2017,148.0791146,149.0882079,147.2753963,148.6863556,2478100,0,0,-2.092522441
20-10-2017,149.338276,149.9365919,147.7933702,148.507782,5577700,0,0,-0.055565578
23-10-2017,148.3291915,148.3291915,145.6412186,145.8644714,6214800,0,0,1.145532545
24-10-2017,147.5790259,148.6774395,146.0876988,146.3466797,7855200,0,0,-1.410728578
25-10-2017,145.9269556,147.453997,145.5608178,146.0787659,3716200,0,0,-1.659306678
26-10-2017,146.5788644,147.0342952,146.2305905,146.4627686,2934400,0,0,-2.123632044
27-10-2017,146.5341818,148.10589,146.2484253,147.6950989,2298100,0,0,0.681621426
30-10-2017,147.3468818,148.7399774,147.0521864,148.445282,2051000,0,0,1.249225176
31-10-2017,148.46313,149.4990264,148.355973,149.0525208,2873000,0,0,0.350175349
01-11-2017,147.9897693,150.0169079,147.8558231,148.5702209,2186100,0,0,-0.237539665
02-11-2017,149.1239001,150.4455525,148.6863199,150.1151428,2291000,0,0,1.270261211
03-11-2017,150.0258715,151.3207349,149.6686724,150.6063232,1959500,0,0,-0.069792157
06-11-2017,150.8295396,152.18692,150.5616472,151.8743744,3087700,0,0,-2.505772438
07-11-2017,151.9011807,152.5441497,151.3832327,152.4994965,2506000,0,0,-2.367464606
08-11-2017,151.9637183,152.6334767,151.3207491,151.9012146,2605000,0,0,-4.723636172
09-11-2017,150.6688539,151.0974955,148.3291689,149.1328735,4219000,0,0,-3.783389696
10-11-2017,148.5970551,148.9542678,146.0251922,147.8737183,4226800,0,0,1.674902553
13-11-2017,147.7665865,149.9812508,147.4183127,149.4633026,2605600,0,0,2.86254608
14-11-2017,148.9899567,150.4009157,148.7488535,150.1240845,2180900,0,0,2.356934259
15-11-2017,149.7490346,150.6420457,149.266801,149.4186249,2019300,0,0,2.92881015
16-11-2017,149.7401091,150.8206586,149.6061629,150.1062469,2293400,0,0,1.408598344
17-11-2017,149.6150745,149.7579596,148.3827285,148.8828125,2221400,0,0,1.18451363
20-11-2017,149.4275556,149.8919253,148.9185328,149.070343,2442300,0,0,-1.263198444
21-11-2017,149.6240039,151.1510452,149.5882758,150.2937622,2653100,0,0,-1.58405169
22-11-2017,151.159995,152.1244487,150.6241829,150.9635315,2719200,0,0,-2.818965501
24-11-2017,150.8117468,151.418988,150.7581683,151.0171356,963200,0,0,-1.572855654
27-11-2017,150.8295866,151.0796286,150.1062497,150.8831787,2082400,0,0,4.22185631
28-11-2017,151.1242605,153.0442425,150.9545862,153.0085144,2909900,0,0,-0.753110264
29-11-2017,153.330005,153.6157751,150.963531,152.1958771,4590300,0,0,-0.244346522
30-11-2017,152.9325029,155.5646169,152.1239934,154.486618,6023700,1.01,0,-1.070246941
